Дата обращения;Канал;Тема;Регион;Оценка;Время решения, ч;Решено
28.05.2026;Телефон;Оплата;Юг;5;67,2;Да
24.02.2026;Мобильное приложение;Оплата;Урал;3;36,7;Да
21.02.2026;Телефон;Доставка;СПб;5;43,4;Нет
19.01.2026;Телефон;Оплата;Урал;4;2,2;Нет
27.02.2026;Чат;Возврат;Урал;3;33,0;Да
12.05.2026;Почта;Техподдержка;Урал;1;29,0;Да
24.05.2026;Почта;Доставка;Москва;3;58,7;Да
16.02.2026;Телефон;Возврат;СПб;4;17,7;Да
01.02.2026;Чат;Возврат;Сибирь;2;60,0;Да
02.06.2026;Почта;Техподдержка;Сибирь;2;28,5;Да
01.05.2026;Чат;Возврат;Урал;1;32,7;Нет
17.03.2026;Почта;Техподдержка;Сибирь;2;52,5;Да
28.02.2026;Телефон;Оплата;Сибирь;1;15,0;Нет
26.01.2026;Чат;Доставка;Сибирь;2;65,7;Да
21.03.2026;Телефон;Доставка;Юг;3;69,2;Нет
05.04.2026;Телефон;Оплата;СПб;5;25,5;Нет
28.03.2026;Почта;Техподдержка;Сибирь;1;39,7;Да
31.03.2026;Телефон;Техподдержка;Урал;1;12,8;Да
03.02.2026;Почта;Возврат;Москва;5;67,6;Да
27.04.2026;Чат;Бонусы;Урал;1;54,5;Да
13.03.2026;Чат;Техподдержка;Сибирь;5;21,7;Да
26.06.2026;Чат;Возврат;Урал;4;55,4;Да
22.03.2026;Чат;Бонусы;СПб;5;29,0;Нет
21.06.2026;Телефон;Бонусы;Сибирь;5;32,6;Да
26.02.2026;Чат;Техподдержка;Сибирь;2;3,2;Да
28.02.2026;Мобильное приложение;Возврат;Юг;3;21,3;Да
15.03.2026;Чат;Возврат;Сибирь;3;37,2;Нет
07.04.2026;Почта;Доставка;Урал;4;46,5;Да
29.06.2026;Чат;Возврат;Москва;3;5,1;Нет
30.01.2026;Телефон;Доставка;СПб;5;24,5;Да
08.01.2026;Почта;Возврат;Сибирь;2;57,4;Нет
08.02.2026;Телефон;Возврат;Юг;3;12,9;Нет
06.04.2026;Почта;Доставка;СПб;3;9,3;Нет
01.04.2026;Почта;Техподдержка;Урал;4;48,0;Да
12.02.2026;Телефон;Техподдержка;Урал;3;28,0;Да
13.02.2026;Мобильное приложение;Бонусы;Москва;1;12,6;Да
26.02.2026;Чат;Возврат;СПб;3;65,6;Да
11.06.2026;Почта;Возврат;Москва;3;12,3;Да
24.05.2026;Почта;Оплата;Урал;4;58,8;Нет
17.03.2026;Телефон;Доставка;Москва;4;68,9;Да
03.06.2026;Мобильное приложение;Техподдержка;Юг;1;16,2;Да
02.06.2026;Почта;Оплата;Урал;4;52,1;Да
08.02.2026;Чат;Оплата;Сибирь;5;21,2;Нет
17.05.2026;Телефон;Техподдержка;Сибирь;3;57,0;Да
06.02.2026;Телефон;Техподдержка;Сибирь;1;42,0;Да
08.03.2026;Почта;Доставка;Юг;1;16,5;Да
07.05.2026;Мобильное приложение;Оплата;Сибирь;2;25,6;Нет
23.01.2026;Мобильное приложение;Оплата;Урал;2;17,0;Да
23.05.2026;Телефон;Оплата;СПб;3;5,4;Да
23.04.2026;Телефон;Доставка;СПб;2;67,1;Да
07.04.2026;Почта;Бонусы;Сибирь;2;9,9;Да
29.06.2026;Телефон;Оплата;Урал;2;39,4;Да
07.05.2026;Чат;Доставка;Урал;2;55,0;Да
22.04.2026;Телефон;Оплата;Сибирь;1;3,7;Да
06.04.2026;Телефон;Возврат;Москва;5;53,8;Нет
23.04.2026;Телефон;Доставка;Урал;1;56,8;Нет
14.06.2026;Телефон;Техподдержка;Сибирь;1;13,7;Да
10.03.2026;Чат;Возврат;Урал;3;42,6;Нет
25.05.2026;Телефон;Техподдержка;Урал;4;42,3;Нет
19.03.2026;Телефон;Возврат;Сибирь;2;29,8;Да
01.05.2026;Почта;Бонусы;Юг;4;37,0;Нет
20.04.2026;Телефон;Оплата;Москва;2;27,1;Нет
08.02.2026;Телефон;Бонусы;СПб;2;14,3;Да
28.02.2026;Почта;Бонусы;СПб;1;61,5;Да
21.06.2026;Телефон;Бонусы;Москва;5;18,1;Да
11.02.2026;Чат;Бонусы;Юг;5;18,7;Да
02.06.2026;Телефон;Оплата;Юг;2;30,4;Да
05.02.2026;Почта;Бонусы;Урал;3;28,7;Нет
30.01.2026;Чат;Техподдержка;Москва;2;5,5;Нет
23.02.2026;Телефон;Бонусы;Москва;5;32,1;Да
05.04.2026;Мобильное приложение;Оплата;Урал;1;52,3;Нет
09.01.2026;Чат;Техподдержка;Юг;2;5,9;Нет
21.01.2026;Почта;Бонусы;Сибирь;3;15,5;Да
27.03.2026;Мобильное приложение;Возврат;Урал;1;51,7;Да
19.04.2026;Чат;Техподдержка;Урал;1;47,3;Да
02.04.2026;Телефон;Техподдержка;Юг;4;21,6;Да
18.05.2026;Почта;Возврат;Юг;4;24,8;Нет
19.02.2026;Мобильное приложение;Оплата;Москва;4;25,0;Да
02.01.2026;Почта;Доставка;Урал;1;23,1;Нет
09.03.2026;Телефон;Бонусы;СПб;3;64,0;Да
07.01.2026;Телефон;Возврат;СПб;3;2,3;Да
16.02.2026;Чат;Оплата;Сибирь;4;49,7;Да
17.05.2026;Телефон;Возврат;Сибирь;1;3,6;Да
24.03.2026;Почта;Техподдержка;Урал;1;61,9;Да
01.05.2026;Мобильное приложение;Доставка;Юг;4;49,4;Да
07.02.2026;Мобильное приложение;Техподдержка;Сибирь;1;41,0;Да
02.05.2026;Мобильное приложение;Техподдержка;Москва;2;56,7;Нет
28.04.2026;Почта;Техподдержка;Сибирь;3;26,2;Да
04.04.2026;Чат;Доставка;СПб;4;0,7;Да
24.05.2026;Чат;Возврат;Москва;2;69,7;Да
24.01.2026;Мобильное приложение;Возврат;Сибирь;3;43,3;Да
14.03.2026;Мобильное приложение;Техподдержка;СПб;2;37,1;Да
20.06.2026;Телефон;Доставка;Урал;5;20,7;Нет
29.04.2026;Почта;Оплата;Урал;5;31,6;Да
14.01.2026;Мобильное приложение;Доставка;Урал;5;35,4;Да
18.02.2026;Почта;Оплата;Юг;2;53,9;Да
06.01.2026;Почта;Доставка;Сибирь;2;19,1;Да
30.01.2026;Телефон;Доставка;Москва;4;55,3;Да
11.02.2026;Телефон;Бонусы;СПб;5;67,8;Да
21.04.2026;Чат;Техподдержка;Сибирь;3;70,1;Да
30.01.2026;Чат;Возврат;СПб;1;57,8;Да
16.01.2026;Мобильное приложение;Бонусы;СПб;2;25,9;Да
01.01.2026;Телефон;Доставка;Москва;1;70,0;Да
12.03.2026;Телефон;Техподдержка;Урал;1;25,9;Нет
24.01.2026;Телефон;Возврат;Москва;3;59,8;Да
26.06.2026;Почта;Доставка;СПб;3;21,9;Нет
26.03.2026;Почта;Возврат;Сибирь;4;57,0;Да
31.01.2026;Чат;Техподдержка;Москва;2;26,8;Да
30.06.2026;Чат;Доставка;Москва;2;71,0;Да
28.06.2026;Телефон;Бонусы;СПб;2;26,0;Да
08.04.2026;Мобильное приложение;Техподдержка;Юг;3;71,0;Нет
06.03.2026;Почта;Оплата;СПб;4;56,4;Да
23.06.2026;Телефон;Возврат;Урал;3;58,3;Нет
16.06.2026;Чат;Оплата;Москва;1;13,1;Да
09.02.2026;Телефон;Техподдержка;Сибирь;1;58,5;Да
11.05.2026;Мобильное приложение;Бонусы;Урал;4;39,1;Да
25.04.2026;Почта;Доставка;Москва;5;3,0;Да
18.04.2026;Чат;Доставка;Юг;5;55,2;Да
10.02.2026;Почта;Бонусы;Урал;3;53,2;Нет
12.06.2026;Чат;Возврат;Сибирь;5;69,9;Да
31.03.2026;Мобильное приложение;Доставка;Юг;4;16,9;Да
25.01.2026;Почта;Бонусы;Урал;2;51,2;Да
10.04.2026;Телефон;Доставка;Урал;1;33,3;Да
01.01.2026;Телефон;Возврат;СПб;1;60,2;Да
07.04.2026;Мобильное приложение;Техподдержка;Сибирь;1;64,2;Да
19.02.2026;Мобильное приложение;Возврат;СПб;4;21,3;Да
17.01.2026;Чат;Возврат;СПб;1;2,2;Да
03.01.2026;Чат;Возврат;Сибирь;4;16,8;Да
26.05.2026;Телефон;Возврат;Юг;2;2,5;Нет
07.04.2026;Мобильное приложение;Бонусы;Москва;3;29,0;Да
03.02.2026;Мобильное приложение;Оплата;Юг;1;29,0;Да
06.04.2026;Почта;Возврат;Сибирь;4;5,8;Да
15.06.2026;Почта;Доставка;Москва;3;57,4;Да
22.06.2026;Чат;Возврат;СПб;2;46,5;Нет
15.05.2026;Телефон;Возврат;Москва;4;55,6;Нет
12.03.2026;Почта;Техподдержка;Урал;5;44,2;Нет
26.04.2026;Почта;Техподдержка;СПб;1;47,7;Нет
17.02.2026;Мобильное приложение;Бонусы;СПб;2;38,5;Да
08.02.2026;Мобильное приложение;Оплата;Москва;4;58,7;Нет
28.05.2026;Телефон;Бонусы;Юг;5;16,7;Да
28.06.2026;Мобильное приложение;Возврат;Юг;2;18,6;Да
06.06.2026;Почта;Возврат;Москва;2;23,3;Да
04.04.2026;Мобильное приложение;Доставка;Москва;2;28,2;Да
29.01.2026;Чат;Бонусы;Урал;4;60,0;Нет
11.04.2026;Мобильное приложение;Бонусы;СПб;2;54,2;Да
26.02.2026;Почта;Возврат;СПб;1;22,6;Да
16.02.2026;Чат;Оплата;Москва;3;62,1;Да
29.03.2026;Чат;Доставка;Сибирь;1;61,0;Да
23.03.2026;Мобильное приложение;Техподдержка;Юг;2;7,4;Да
23.05.2026;Телефон;Возврат;Юг;1;31,9;Да
04.04.2026;Чат;Техподдержка;СПб;5;54,9;Да
16.05.2026;Чат;Бонусы;Юг;5;45,1;Да
10.04.2026;Телефон;Доставка;Сибирь;3;1,3;Да
08.06.2026;Почта;Доставка;СПб;5;20,9;Да
04.04.2026;Телефон;Техподдержка;Юг;2;69,5;Да
26.01.2026;Чат;Бонусы;Урал;2;22,2;Нет
05.04.2026;Мобильное приложение;Техподдержка;СПб;5;25,2;Да
26.05.2026;Чат;Бонусы;Сибирь;1;16,6;Да
03.03.2026;Телефон;Техподдержка;СПб;5;55,1;Да
02.06.2026;Почта;Доставка;Москва;4;60,6;Да
03.01.2026;Чат;Бонусы;Юг;3;54,4;Нет
